nodei;nodej;frechet_m;direccion;longitud1_m;longitud2_m;longitud_promedio_m;diferencia_relativa_pct;duplicadas;atributos_iguales
148565;148525;0.0;invertida;165.41;165.41;165.41;0.0;Sí;Sí
146153;145991;0.0;invertida;5912.89;5912.89;5912.89;0.0;Sí;Sí
146252;146381;0.0;invertida;947.3;947.3;947.3;0.0;Sí;Sí
143881;144263;0.0;invertida;4121.68;4121.68;4121.68;0.0;Sí;Sí
146940;146501;0.0;invertida;1540.79;1540.79;1540.79;0.0;Sí;Sí
148118;148070;0.0;invertida;296.54;296.54;296.54;0.0;Sí;Sí
144592;144575;0.0;invertida;91.36;91.36;91.36;0.0;Sí;Sí
150682;150565;0.0;invertida;898.05;898.05;898.05;0.0;Sí;Sí
146497;146606;0.0;invertida;453.6;453.6;453.6;0.0;Sí;Sí
147091;146439;0.0;invertida;3239.05;3239.05;3239.05;0.0;Sí;Sí
147280;147244;0.0;invertida;358.81;358.81;358.81;0.0;Sí;Sí
144608;144731;0.0;invertida;0.31;0.31;0.31;0.0;Sí;Sí
147426;147398;0.0;invertida;112.54;112.54;112.54;0.0;Sí;Sí
150620;150565;0.0;invertida;1681.41;1681.41;1681.41;0.0;Sí;Sí
147213;147205;0.0;invertida;112.15;112.15;112.15;0.0;Sí;Sí
146977;147054;0.0;invertida;220.81;220.81;220.81;0.0;Sí;Sí
148490;148525;0.0;invertida;127.19;127.19;127.19;0.0;Sí;Sí
146379;146383;0.0;invertida;24.38;24.38;24.38;0.0;Sí;Sí
145402;145519;0.0;invertida;581.67;581.67;581.67;0.0;Sí;Sí
146891;146916;0.0;invertida;482.34;482.34;482.34;0.0;Sí;Sí
144953;144870;0.0;invertida;499.97;499.97;499.97;0.0;Sí;Sí
150976;151376;0.0;invertida;3220.8;3220.8;3220.8;0.0;Sí;Sí
147754;147702;0.0;invertida;160.94;160.94;160.94;0.0;Sí;Sí
148681;207931;0.0;invertida;433.72;433.72;433.72;0.0;Sí;Sí
147914;147724;0.0;invertida;555.14;555.14;555.14;0.0;Sí;Sí
75109;148943;0.0;invertida;693.02;693.02;693.02;0.0;Sí;Sí
150377;150434;0.0;invertida;260.08;260.08;260.08;0.0;Sí;Sí
149573;149631;0.0;invertida;1058.43;1058.43;1058.43;0.0;Sí;Sí
148629;75102;0.0;invertida;180.47;180.47;180.47;0.0;Sí;Sí
144699;144701;0.0;invertida;141.77;141.77;141.77;0.0;Sí;Sí
